,symbol,date,open,high,low,close,adj_close,volume
0,ADA-USD,2022-01-01,1.31013,1.376975,1.309787,1.376975,1.376975,851279685
1,ADA-USD,2022-01-02,1.377017,1.388755,1.346515,1.377584,1.377584,881893010
2,ADA-USD,2022-01-03,1.377599,1.377599,1.3158,1.321637,1.321637,956659954
3,ADA-USD,2022-01-04,1.321508,1.349682,1.299482,1.311658,1.311658,1014646349
4,ADA-USD,2022-01-05,1.311944,1.350875,1.202679,1.236002,1.236002,1416139355
5,ADA-USD,2022-01-06,1.235209,1.294576,1.193416,1.279782,1.279782,1559075484
6,ADA-USD,2022-01-07,1.279917,1.282408,1.193237,1.211547,1.211547,1751707653
7,ADA-USD,2022-01-08,1.211468,1.25267,1.138116,1.187512,1.187512,1499054949
8,ADA-USD,2022-01-09,1.187693,1.204036,1.153479,1.17386,1.17386,1088569809
9,ADA-USD,2022-01-10,1.173786,1.178859,1.080153,1.128052,1.128052,1481621292
10,ADA-USD,2022-01-11,1.127857,1.193615,1.125648,1.18511,1.18511,1089929557
11,ADA-USD,2022-01-12,1.185551,1.306346,1.185551,1.304535,1.304535,1651269250
12,ADA-USD,2022-01-13,1.304656,1.350995,1.233161,1.233161,1.233161,2022506483
13,ADA-USD,2022-01-14,1.23337,1.306503,1.227105,1.290926,1.290926,1855980787
14,ADA-USD,2022-01-15,1.291089,1.315587,1.257258,1.296263,1.296263,967735764
15,ADA-USD,2022-01-16,1.295933,1.420641,1.291159,1.407251,1.407251,2436680646
16,ADA-USD,2022-01-17,1.40821,1.594131,1.390763,1.594131,1.594131,5285117130
17,ADA-USD,2022-01-18,1.59648,1.631298,1.418237,1.465541,1.465541,4287066351
18,ADA-USD,2022-01-19,1.464946,1.531111,1.331478,1.341757,1.341757,3304139176
19,ADA-USD,2022-01-20,1.341654,1.423338,1.257876,1.258055,1.258055,1686210420
20,ADA-USD,2022-01-21,1.258803,1.279778,1.109166,1.123233,1.123233,3009627794
21,ADA-USD,2022-01-22,1.123079,1.152195,0.933397,1.066716,1.066716,3930474859
22,ADA-USD,2022-01-23,1.067661,1.164873,1.056932,1.122371,1.122371,2362627205
23,ADA-USD,2022-01-24,1.122782,1.124338,0.959124,1.066598,1.066598,3237316963
24,ADA-USD,2022-01-25,1.066519,1.072024,0.998212,1.043574,1.043574,1766326155
25,ADA-USD,2022-01-26,1.04362,1.149648,1.026486,1.079047,1.079047,2437592239
26,ADA-USD,2022-01-27,1.078735,1.078735,1.009166,1.043533,1.043533,1519972359
27,ADA-USD,2022-01-28,1.043234,1.058343,1.014096,1.050606,1.050606,1206550586
28,ADA-USD,2022-01-29,1.050492,1.080614,1.041647,1.05957,1.05957,913122499
29,ADA-USD,2022-01-30,1.059748,1.075346,1.028418,1.037473,1.037473,748084610
30,ADA-USD,2022-01-31,1.037615,1.057604,1.012046,1.052303,1.052303,925666321
31,ADA-USD,2022-02-01,1.052236,1.092317,1.037886,1.088624,1.088624,1130552843
32,ADA-USD,2022-02-02,1.090309,1.10024,1.02775,1.028906,1.028906,1086043481
33,ADA-USD,2022-02-03,1.028688,1.057225,1.019261,1.056444,1.056444,873675008
34,ADA-USD,2022-02-04,1.056243,1.135624,1.047297,1.135624,1.135624,1178757518
35,ADA-USD,2022-02-05,1.136061,1.172885,1.102618,1.127345,1.127345,1363912644
36,ADA-USD,2022-02-06,1.127235,1.147803,1.103168,1.144547,1.144547,911521818
37,ADA-USD,2022-02-07,1.144356,1.206854,1.128264,1.197307,1.197307,2107219347
38,ADA-USD,2022-02-08,1.19765,1.257816,1.135913,1.17872,1.17872,2267265855
39,ADA-USD,2022-02-09,1.177958,1.212157,1.15475,1.19481,1.19481,1239455609
40,ADA-USD,2022-02-10,1.194636,1.218667,1.149182,1.152478,1.152478,1810255178
41,ADA-USD,2022-02-11,1.152571,1.162573,1.072568,1.080347,1.080347,1395763170
42,ADA-USD,2022-02-12,1.080511,1.091407,1.034717,1.058199,1.058199,1401190670
43,ADA-USD,2022-02-13,1.058008,1.070944,1.035629,1.045819,1.045819,1066206015
44,ADA-USD,2022-02-14,1.045469,1.052781,1.021529,1.050267,1.050267,1261583495
45,ADA-USD,2022-02-15,1.050218,1.113366,1.050018,1.107586,1.107586,1370174980
46,ADA-USD,2022-02-16,1.107631,1.110541,1.069289,1.084981,1.084981,1028924852
47,ADA-USD,2022-02-17,1.084318,1.091512,1.012222,1.019895,1.019895,1093325576
48,ADA-USD,2022-02-18,1.020223,1.041311,0.989473,0.997113,0.997113,1288743412
49,ADA-USD,2022-02-19,0.997005,1.017854,0.977514,0.997703,0.997703,1104597763
50,ADA-USD,2022-02-20,0.997629,0.997629,0.923295,0.932902,0.932902,1429017666
51,ADA-USD,2022-02-21,0.932452,0.986247,0.857714,0.858236,0.858236,2072270994
52,ADA-USD,2022-02-22,0.85813,0.893756,0.81999,0.889017,0.889017,2058499639
53,ADA-USD,2022-02-23,0.888989,0.955431,0.869169,0.869169,0.869169,1824386011
54,ADA-USD,2022-02-24,0.868515,0.882342,0.75281,0.853425,0.853425,3629367685
55,ADA-USD,2022-02-25,0.853572,0.906541,0.829244,0.898027,0.898027,1652894219
56,ADA-USD,2022-02-26,0.897996,0.928296,0.885401,0.887918,0.887918,1099934921
57,ADA-USD,2022-02-27,0.887788,0.912676,0.840146,0.858335,0.858335,1278510571
58,ADA-USD,2022-02-28,0.85787,0.967613,0.84504,0.959828,0.959828,1779202386
59,ADA-USD,2022-03-01,0.959886,1.005403,0.944935,0.962346,0.962346,1778795527
60,ADA-USD,2022-03-02,0.962425,0.973629,0.929062,0.938662,0.938662,1262681262
61,ADA-USD,2022-03-03,0.938722,0.944079,0.886073,0.902659,0.902659,986233549
62,ADA-USD,2022-03-04,0.902793,0.90305,0.830861,0.842889,0.842889,1115108721
63,ADA-USD,2022-03-05,0.843175,0.88094,0.824839,0.865672,0.865672,734896311
64,ADA-USD,2022-03-06,0.865688,0.870498,0.823004,0.823752,0.823752,670024869
65,ADA-USD,2022-03-07,0.823738,0.845476,0.783291,0.797379,0.797379,1040234323
66,ADA-USD,2022-03-08,0.797174,0.819148,0.790318,0.80125,0.80125,955952004
67,ADA-USD,2022-03-09,0.801485,0.861431,0.801007,0.849293,0.849293,980869497
68,ADA-USD,2022-03-10,0.849355,0.850576,0.791222,0.806316,0.806316,903650101
69,ADA-USD,2022-03-11,0.806302,0.817147,0.78593,0.790125,0.790125,792395101
70,ADA-USD,2022-03-12,0.790073,0.800801,0.789565,0.790674,0.790674,493606091
71,ADA-USD,2022-03-13,0.790567,0.819025,0.783251,0.790995,0.790995,772035954
72,ADA-USD,2022-03-14,0.790412,0.812075,0.781908,0.803917,0.803917,924771999
73,ADA-USD,2022-03-15,0.803841,0.815622,0.785917,0.800006,0.800006,832137304
74,ADA-USD,2022-03-16,0.800024,0.838632,0.795396,0.838374,0.838374,1233395707
75,ADA-USD,2022-03-17,0.838362,0.85588,0.82993,0.836784,0.836784,909733920
76,ADA-USD,2022-03-18,0.836657,0.85888,0.822879,0.853433,0.853433,792706852
77,ADA-USD,2022-03-19,0.853274,0.912921,0.851972,0.901099,0.901099,1103521076
78,ADA-USD,2022-03-20,0.901322,0.914603,0.865669,0.877092,0.877092,949951339
79,ADA-USD,2022-03-21,0.877201,0.927599,0.865919,0.916782,0.916782,1233477886
80,ADA-USD,2022-03-22,0.916888,0.985033,0.909592,0.97644,0.97644,1699537576
81,ADA-USD,2022-03-23,0.976162,1.107482,0.959068,1.107482,1.107482,3447683427
82,ADA-USD,2022-03-24,1.107204,1.185751,1.085422,1.130011,1.130011,3671006856
83,ADA-USD,2022-03-25,1.130228,1.163815,1.075631,1.097888,1.097888,2232929187
84,ADA-USD,2022-03-26,1.098015,1.157231,1.082272,1.150594,1.150594,1407171432
85,ADA-USD,2022-03-27,1.151006,1.183395,1.108125,1.182148,1.182148,1322194562
86,ADA-USD,2022-03-28,1.182334,1.242865,1.162468,1.170184,1.170184,2304056098
87,ADA-USD,2022-03-29,1.169285,1.239358,1.169033,1.191112,1.191112,1761798381
88,ADA-USD,2022-03-30,1.19098,1.216669,1.167608,1.190385,1.190385,1424442312
89,ADA-USD,2022-03-31,1.190299,1.22632,1.137162,1.141851,1.141851,1745903089
90,ADA-USD,2022-04-01,1.141952,1.172973,1.107619,1.165425,1.165425,1687785845
91,ADA-USD,2022-04-02,1.165444,1.193844,1.15105,1.156007,1.156007,1224117012
92,ADA-USD,2022-04-03,1.155909,1.198543,1.146687,1.185941,1.185941,976725814
93,ADA-USD,2022-04-04,1.1858,1.240358,1.165493,1.212945,1.212945,2447778820
94,ADA-USD,2022-04-05,1.213029,1.217393,1.167548,1.170801,1.170801,1188106135
95,ADA-USD,2022-04-06,1.170792,1.171607,1.052379,1.052771,1.052771,1710318316
96,ADA-USD,2022-04-07,1.053129,1.098469,1.045138,1.091894,1.091894,1139697598
97,ADA-USD,2022-04-08,1.091632,1.097432,1.02137,1.026326,1.026326,926095649
98,ADA-USD,2022-04-09,1.025912,1.045075,1.02379,1.045015,1.045015,640896639
99,ADA-USD,2022-04-10,1.045012,1.06803,1.028757,1.030885,1.030885,626332866
100,ADA-USD,2022-04-11,1.030671,1.030671,0.920116,0.92045,0.92045,1398303911
101,ADA-USD,2022-04-12,0.920599,0.980855,0.920599,0.955145,0.955145,1076130201
102,ADA-USD,2022-04-13,0.955122,0.978153,0.9374,0.974696,0.974696,791702878
103,ADA-USD,2022-04-14,0.974569,0.983624,0.925471,0.932412,0.932412,812010499
104,ADA-USD,2022-04-15,0.932529,0.957988,0.932474,0.954717,0.954717,574655010
105,ADA-USD,2022-04-16,0.954704,0.961081,0.939852,0.95264,0.95264,468473785
106,ADA-USD,2022-04-17,0.952531,0.961512,0.915346,0.917466,0.917466,528371933
107,ADA-USD,2022-04-18,0.917509,0.937368,0.877736,0.93673,0.93673,1105222191
108,ADA-USD,2022-04-19,0.936762,0.954662,0.928201,0.953333,0.953333,777142382
109,ADA-USD,2022-04-20,0.953325,0.974735,0.93251,0.937341,0.937341,828312845
110,ADA-USD,2022-04-21,0.937272,0.969453,0.896912,0.910474,0.910474,871111347
111,ADA-USD,2022-04-22,0.910335,0.923741,0.893973,0.907154,0.907154,725788912
112,ADA-USD,2022-04-23,0.907185,0.910614,0.88466,0.888503,0.888503,447997661
113,ADA-USD,2022-04-24,0.888279,0.897855,0.881857,0.88635,0.88635,487629549
114,ADA-USD,2022-04-25,0.886378,0.901707,0.830232,0.898695,0.898695,1139869029
115,ADA-USD,2022-04-26,0.898577,0.901137,0.821011,0.827645,0.827645,1020049782
116,ADA-USD,2022-04-27,0.827541,0.853942,0.82259,0.840595,0.840595,927312593
117,ADA-USD,2022-04-28,0.840615,0.852062,0.827689,0.84395,0.84395,836357358
118,ADA-USD,2022-04-29,0.84393,0.8487,0.793686,0.805043,0.805043,874797260
119,ADA-USD,2022-04-30,0.805056,0.817048,0.742359,0.75666,0.75666,868001173
120,ADA-USD,2022-05-01,0.756701,0.799425,0.749655,0.790344,0.790344,928448231
121,ADA-USD,2022-05-02,0.790279,0.795818,0.766198,0.781529,0.781529,805325174
122,ADA-USD,2022-05-03,0.78143,0.798589,0.762068,0.771145,0.771145,649650331
123,ADA-USD,2022-05-04,0.771107,0.897661,0.769638,0.896942,0.896942,1516023155
124,ADA-USD,2022-05-05,0.897061,0.904111,0.778141,0.791152,0.791152,1802128590
125,ADA-USD,2022-05-06,0.791065,0.798315,0.765742,0.783359,0.783359,1312283636
126,ADA-USD,2022-05-07,0.783352,0.785116,0.750657,0.761882,0.761882,801558914
127,ADA-USD,2022-05-08,0.762053,0.763869,0.729272,0.739563,0.739563,1085127147
128,ADA-USD,2022-05-09,0.739509,0.753233,0.610088,0.610088,0.610088,2306123277
129,ADA-USD,2022-05-10,0.609972,0.69852,0.590688,0.628963,0.628963,2372592084
130,ADA-USD,2022-05-11,0.628772,0.657571,0.48461,0.5128,0.5128,2692548110
131,ADA-USD,2022-05-12,0.512999,0.545498,0.406529,0.473746,0.473746,2798263564
132,ADA-USD,2022-05-13,0.473418,0.601088,0.469981,0.528877,0.528877,1946134960
133,ADA-USD,2022-05-14,0.528942,0.554225,0.491435,0.539358,0.539358,1178703676
134,ADA-USD,2022-05-15,0.539386,0.597884,0.516546,0.5975,0.5975,1090431332
135,ADA-USD,2022-05-16,0.597569,0.608465,0.547812,0.556716,0.556716,1291715346
136,ADA-USD,2022-05-17,0.556696,0.597886,0.554384,0.578077,0.578077,935138863
137,ADA-USD,2022-05-18,0.578057,0.584499,0.505615,0.505615,0.505615,933793601
138,ADA-USD,2022-05-19,0.505499,0.544249,0.495611,0.533321,0.533321,939230823
139,ADA-USD,2022-05-20,0.533364,0.543411,0.503138,0.517907,0.517907,722609837
140,ADA-USD,2022-05-21,0.517905,0.53639,0.511424,0.528314,0.528314,428041383
141,ADA-USD,2022-05-22,0.528344,0.547017,0.523393,0.542618,0.542618,489742264
142,ADA-USD,2022-05-23,0.542484,0.557805,0.509433,0.512605,0.512605,753004177
143,ADA-USD,2022-05-24,0.512687,0.524259,0.495957,0.521224,0.521224,678125877
144,ADA-USD,2022-05-25,0.521242,0.531462,0.508289,0.513877,0.513877,589015500
145,ADA-USD,2022-05-26,0.513953,0.520108,0.466368,0.480883,0.480883,909554798
146,ADA-USD,2022-05-27,0.480643,0.482871,0.447367,0.455507,0.455507,922413717
147,ADA-USD,2022-05-28,0.458176,0.467449,0.449708,0.464764,0.464764,448858644
148,ADA-USD,2022-05-29,0.464732,0.481841,0.45738,0.481126,0.481126,444269488
149,ADA-USD,2022-05-30,0.481134,0.574956,0.478083,0.570073,0.570073,1185015742
150,ADA-USD,2022-05-31,0.57,0.682313,0.569636,0.625254,0.625254,3269050143
151,ADA-USD,2022-06-01,0.625417,0.629977,0.540809,0.55275,0.55275,1404107650
152,ADA-USD,2022-06-02,0.552636,0.595811,0.550444,0.587795,0.587795,1257661647
153,ADA-USD,2022-06-03,0.587836,0.60329,0.541486,0.559658,0.559658,910186327
154,ADA-USD,2022-06-04,0.559957,0.57057,0.548088,0.566069,0.566069,559861766
155,ADA-USD,2022-06-05,0.566091,0.579553,0.556398,0.56709,0.56709,478128224
156,ADA-USD,2022-06-06,0.567207,0.643452,0.566608,0.609328,0.609328,1417826128
157,ADA-USD,2022-06-07,0.60934,0.641993,0.574847,0.615445,0.615445,1450579665
158,ADA-USD,2022-06-08,0.615485,0.666099,0.610954,0.641614,0.641614,1636846100
159,ADA-USD,2022-06-09,0.641649,0.655216,0.627746,0.63292,0.63292,1166081755
160,ADA-USD,2022-06-10,0.632863,0.635083,0.573932,0.574216,0.574216,1170021356
161,ADA-USD,2022-06-11,0.574268,0.613661,0.546497,0.552777,0.552777,1232257018
162,ADA-USD,2022-06-12,0.552977,0.55993,0.496861,0.496861,0.496861,1474640183
163,ADA-USD,2022-06-13,0.4961,0.496463,0.439206,0.463133,0.463133,2551895485
164,ADA-USD,2022-06-14,0.463251,0.517403,0.438537,0.484386,0.484386,2241209963
165,ADA-USD,2022-06-15,0.48416,0.536792,0.450104,0.533296,0.533296,2335125416
166,ADA-USD,2022-06-16,0.533529,0.544017,0.469018,0.475022,0.475022,1226235066
167,ADA-USD,2022-06-17,0.475183,0.502739,0.473478,0.487392,0.487392,872710309
168,ADA-USD,2022-06-18,0.487367,0.494669,0.423419,0.456182,0.456182,1214101657
169,ADA-USD,2022-06-19,0.45597,0.487226,0.437213,0.484364,0.484364,1050008285
170,ADA-USD,2022-06-20,0.484403,0.507965,0.462886,0.492261,0.492261,1096263588
171,ADA-USD,2022-06-21,0.49227,0.509728,0.477318,0.479204,0.479204,1018828248
172,ADA-USD,2022-06-22,0.479506,0.480996,0.457943,0.458568,0.458568,818977392
173,ADA-USD,2022-06-23,0.458652,0.482221,0.45804,0.480292,0.480292,711554788
174,ADA-USD,2022-06-24,0.480199,0.508816,0.477045,0.499224,0.499224,945924412
175,ADA-USD,2022-06-25,0.499233,0.506943,0.479517,0.498946,0.498946,649820170
176,ADA-USD,2022-06-26,0.498876,0.524037,0.489426,0.489653,0.489653,842528877
177,ADA-USD,2022-06-27,0.489558,0.507615,0.47862,0.48579,0.48579,709992597
178,ADA-USD,2022-06-28,0.485571,0.496544,0.468228,0.469671,0.469671,724759074
179,ADA-USD,2022-06-29,0.469673,0.475916,0.460463,0.465509,0.465509,769352065
180,ADA-USD,2022-06-30,0.465602,0.466736,0.436185,0.458849,0.458849,903962268
181,ADA-USD,2022-07-01,0.459312,0.470312,0.44441,0.448089,0.448089,796619668
